split,day,underlying,protocol,opt,strike,lots,entry,stop,target,exit_price,action,entry_charge,exit_charge,net
train,2025-06-04,NIFTY,ALPHA,PE,24700.0,18,142.65,106.99,196.14,144.67,THESIS_BROKEN,110.34,398.69,2224.72
train,2025-06-05,NIFTY,BETA,CE,24600.0,24,108.02,81.02,148.53,147.78,TARGET,111.17,534.46,70931.12
train,2025-06-05,NIFTY,BETA,CE,24600.0,26,101.77,76.33,139.94,107.86,THESIS_BROKEN,112.99,427.51,11327.2
train,2025-06-05,NIFTY,BETA,CE,24700.0,21,124.92,93.69,171.76,93.22,STOP,112.22,305.56,-50341.24
train,2025-06-05,NIFTY,BETA,CE,24700.0,30,87.52,65.64,120.33,119.73,TARGET,112.3,540.97,71834.59
train,2025-06-06,NIFTY,ALPHA,PE,25100.0,12,206.36,154.77,283.75,213.08,THESIS_BROKEN,107.26,391.89,5548.17
train,2025-06-12,NIFTY,GAMMA,PE,25200.0,22,119.86,89.89,164.8,163.98,TARGET,112.68,543.2,72145.4
train,2025-06-12,NIFTY,GAMMA,PE,25150.0,22,117.08,87.81,160.99,115.97,THESIS_BROKEN,110.62,391.07,-2344.33
train,2025-06-17,SENSEX,ALPHA,CE,81300.0,47,209.0,156.75,287.38,285.94,TARGET,105.07,530.16,71686.61
train,2025-06-17,SENSEX,ALPHA,CE,81400.0,52,190.87,143.15,262.45,261.14,TARGET,105.92,535.44,72433.99
train,2025-06-17,SENSEX,ALPHA,CE,81400.0,62,159.46,119.59,219.25,218.16,TARGET,105.59,533.43,72148.66
train,2025-06-18,NIFTY,ALPHA,CE,24700.0,19,139.17,104.38,191.36,137.21,THESIS_BROKEN,112.93,399.1,-3307.17
train,2025-06-19,SENSEX,ALPHA,PE,81700.0,20,482.02,361.51,662.78,518.35,THESIS_BROKEN,103.54,414.37,14012.19
train,2025-06-20,SENSEX,ALPHA,CE,81300.0,20,488.44,366.33,671.61,627.85,THESIS_BROKEN,104.62,496.92,55158.86
train,2025-06-20,SENSEX,BETA,CE,81800.0,17,556.64,417.48,765.39,548.44,THESIS_BROKEN,102.09,375.04,-3265.13
train,2025-06-20,BANKNIFTY,ALPHA,CE,55800.0,26,506.0,379.5,695.75,625.31,THESIS_BROKEN,112.5,491.94,45925.58
train,2025-06-23,SENSEX,ALPHA,CE,81400.0,24,401.72,301.29,552.37,466.26,THESIS_BROKEN,103.56,445.4,30428.8
train,2025-06-23,BANKNIFTY,BETA,CE,55800.0,29,444.88,333.66,611.72,520.24,THESIS_BROKEN,110.77,458.19,32209.05
train,2025-06-24,FINNIFTY,GAMMA,PE,26950.0,29,171.42,128.57,235.71,175.67,THESIS_BROKEN,113.17,414.93,4394.07
train,2025-06-25,FINNIFTY,ALPHA,CE,26700.0,35,139.13,104.35,191.3,190.34,TARGET,111.32,535.36,71056.41
train,2025-06-27,SENSEX,GAMMA,PE,84200.0,24,405.46,304.09,557.51,471.93,THESIS_BROKEN,104.3,450.53,31350.05
train,2025-06-27,NIFTY,GAMMA,PE,25750.0,16,159.63,119.72,219.49,185.97,THESIS_BROKEN,109.89,452.16,31038.15
train,2025-07-01,NIFTY,ALPHA,PE,25700.0,17,155.89,116.92,214.35,213.28,TARGET,113.13,545.83,72510.41
train,2025-07-01,SENSEX,ALPHA,CE,83400.0,40,246.4,184.8,338.8,337.11,TARGET,105.34,531.88,71927.58
train,2025-07-01,NIFTY,ALPHA,CE,25400.0,16,164.03,123.02,225.54,224.42,TARGET,112.26,540.78,71808.1
train,2025-07-01,NIFTY,ALPHA,CE,25400.0,16,164.56,123.42,226.27,225.14,TARGET,112.54,542.44,72039.4
train,2025-07-01,SENSEX,ALPHA,CE,83500.0,48,205.0,153.75,281.87,280.46,TARGET,105.21,531.03,71809.35
